,title,company,location,salary,summary
128,Staff UX Researcher - Monetization,,"Washington, DC 20001 (Shaw area)+2 locations",,"Experience with applied statistics, survey design and response effects.Proficient in a wide range of quantitative and qualitative research methods,…"
129,Sr Research Associate,,"Washington, DC 20007 (Georgetown area)",,"Provides support and assistance for researchers, research infrastructure, financial management functions and capacity building activities in the Department of…"
130,Entrepreneurial Research and Policy Engagement Leaders,,"Washington, DC 20036 (Downtown area)",,Resources for the Future is seeking experienced researchers and policy specialists ready for leadership who can design and implement team-based research and…
131,Director of Research,,"Washington, DC 20036 (Downtown area)",,"Engaging with NELP research staff as they advance campaign and issue area goals by being a thought partner (e.g., providing feedback on research design, helping…"
132,Web and Digital Project Specialist,,"Washington, DC",,"Duties include site design, usability review, standards compliance, update management, and analytics monitoring."
133,Sr Backend Engineer Quantum (Location Any),,"Washington, DC 20001 (Swampoodle area)",,Experience in systems architecture design (3+ years).A a back-end developer your responsibilities will range from low-level systems development to design and…
134,"Communications Manager, Global Economy and Development (Job...",,"Hybrid remote in Washington, DC 20036",,"Format research papers and other knowledge products into design layout.Exemplary organizational ability; eye for detail, creativity, and design."
135,Mental Health Researcher,,"Washington, DC",,Perform scientific design and execution of evaluation studies.Assist with the design of research studies and provide scientific input into the research process…
136,Research Data Scientist,,"Washington, DC 20004 (Penn Quarter area)",,"We analyze data, design experiments, build models, communicate our results, and often deliver production code, fostering a culture of data-driven decision…"
137,"newSenior Data Engineer, Cyber Research (Cortex)",,"Washington, DC",,"We're responsible for performing rapid prototyping and special projects using unique datasets to deliver cybersecurity insights for government, military, and…"
138,Product Manager - Mobile Products,,"Remote in Washington, DC",,"Engage with design, research, and development to clearly articulate customer pain points and build a process for effective problem solving."
139,Building Technologies Office Opportunity – Residential Build...,,"Washington, DC (Southwest Federal Center area)",,Be an excellent writer and researcher and have strong skills in analyzing and summarizing complex topics in the context of technology and policy strategy.
