,title,company,salary,summary
53,data analyst hotel operations,citizenM,,As a data analyst on the hotel operations domain you will have the opportunity to work citizenM’s rich data sources.Proven proficiency in the use of PowerBI;
54,nieuwSenior Data Analyst,Tiqets,,"Nice to have: experience with data modelling tools, such as dbt.Collaborate on the architectural evolution of the Tiqets data model and reporting framework."
55,Paid Search Lead,Upraw Media,€4.000 - €5.000 per maand,"As a core member of the growth marketing team, you’ll work closely with data analysts, SEM and social media specialists, copywriters, and designers."
56,Product Data Analyst (Remote),SwissBorg,,Strong experience with data extraction using SQL.3+ years of experience in a data analytics role.Analyze data to drive product decisions and researches and…
57,nieuwB2B E-Commerce Data Analyst,PVH,,Proactively drive customer and data driven mindset within the teams you work with.Working experience in data analytics and (visual) reporting is mandatory (>2…
58,Data Management and Governance Analyst,Accenture,,Building the data management and governance foundation.Ability to translate business requirements into data solutions.
59,Operations Data Analyst,VanMoof,,You’ll be responsible for providing data-driven insights and understanding the inner workings of our operation.2-4 years of relevant experience.
60,nieuwSenior Data Analyst,Otrium,,"You will mentor and share knowledge with the other data analysts in the team.You will identify & resolve technical, performance and data issues with the DWH…"
61,Data Analyst,Bugaboo,,"Proven track record of translating data into business insights and business opportunities;You visualize the data using the latest tools and technology, like…"
62,Finance Analyst,CBRE,€38.000 - €60.000 per jaar,"Als Finance Analyst word je dan ook verantwoordelijk voor het volledige financiële beheer van 1 van onze middelgrote accounts, Cisco Systems International."
63,Data analist,Start People Amsterdam,€2.700 - €3.030 per maand,Je beschikt over kennis over data-analyses en data processing;Als data analist bij Vattenfall kom je te werken binnen het Transaction and Position Management …
64,nieuwData Analyst Logistieke Innovatie,Bol.com,€3.500 - €5.000 per maand,"Je wordt blij van het werken met grote bakken data in bijvoorbeeld SQL, Google Big Query en eventueel andere tooling."
65,Early in Career - Associate Sales Operations Analyst EMEA,University Program,,"As part of our sales operations, you support the sales team by providing research, reports, and craft and support systems and processes that enable the process…"
66,E-commerce Data Analyst,Body & Fit,,"Review quantitative and qualitative data, to learn about customer motivation, leveraging data to support business interests.Discount of Dutch health insurance."
67,Cyber Threat Response Analyst,PwC,,Analyzing data and presenting findings to colleagues.Global Technology is responsible for driving the adoption and operation of global IT services across the…
68,nieuwResearch Analist,Amsterdam UMC,,You will summarize the finding of the performed studies in written reports and you will present the data in lab meetings.
69,Data Analyst - Global Commodity Risk Management,Kraft Heinz Company,,Detail orientation to ensure data accuracy.You know how to translate complex data into a simple solution with your analytical mindset.
70,nieuwData analist,Zorgbalans,€3.819 per maand,Transformeren en modelleren van data (ETL).Je hebt aantoonbare affiniteit met data en BI.Als Data analist werk je aan het bruikbaar en inzichtelijk maken van…
71,nieuwSenior Analyst Data Governance,Adidas,,Preferably 1-2 years of work experience in data governance or data affine business/ IT functions (lateral entrants possible).
72,nieuwHR Data Analyst at Ahold Delhaize GSO,ahold,,"Perform data quality checks and establish a data quality process and structure.Strong communication and data presentation skills, experience analyzing data and…"
73,Junior Business Analyst,Adidas,,Maintain in-season logistics master data and support migration activities.The role aims to support delivery of optimization of the end-to-end Planning &…
74,Data Analist,Digital Power,€2.700 - €4.100 per maand,Je zet die data om naar bruikbare inzichten.Je kunt data analyseren helder visualiseren en uitleggen.Je duikt graag in de off- én online data van organisaties…
75,nieuwProduct Owner Data,Decathlon,,"Translating those business questions into concrete and workable data-solutions, such as dashboards or forecasting models, is the starting point for the rest of…"
76,Data Analyst,SwipeGuide,,"At least 5 years of experience as a data analyst, business analyst, BI analyst, or related role.Providing technical expertise in data storage structures, data…"
77,nieuwSenior Analyst Data Governance,Adidas,,Preferably 1-2 years of work experience in data governance or data affine business/ IT functions (lateral entrants possible).
78,Data analist,Start People Amsterdam,€2.700 - €3.030 per maand,Je beschikt over kennis over data-analyses en data processing;Als data analist bij Vattenfall kom je te werken binnen het Transaction and Position Management …
79,IT Support Analyst,AKQA,,"Maintaining password security, data integrity, and file system security for the desktop environment.Provide on-site/remote support to the Amsterdam studio and…"
80,Data Analyst: Sustainability and CSR,Just eat Takeaway.com,,"Able to produce in-depth analyses of topics like product categorization, marketing funnel, geo location data and basic statistics Experience with using data…"
81,Business Analyst - Subscription service,Scribbr,€3.000 - €4.000 per maand,"*Conduct data analysis* to gather relevant insights, make recommendations and support internal decision making.*Start- or scale-up experience* is a major plus."
82,Data Science intern,Orderchamp,,"Understand our data, analyze behaviour and build algorithms to improve performance;Previous involvement in algorithm development and data analysis, preferably…"
83,Incident Response Analyst,PwC,,"Creating data analysis, statistics, and visualizations.Global Technology is responsible for driving the adoption and operation of global IT services across the…"
84,Digital Analyst,Adidas,,Experience with data analysis tool(s) e.g. Tableau.A passion for delivering data-based recommendations for quantifiable improvements in business results and…
85,Business / Data Analyst,Finalyse,,Je weet jouw keuzes en adviezen te onderbouwen aan de hand van data analyse.Hierbij speelt het onderbouwen van je keuzes aan de hand van data een belangrijke…
86,HR reporting analyst,UMC Utrecht,€4.707 per maand,"Je bent op de hoogte van in- en externe ontwikkelingen op het gebied van data, reporting tools en toepassingen."
87,nieuwSales Operations Analyst - Data/Analytics SDR/Inside Sales,Pleo,,"Evidence of customer/sales-facing role/data set interpretation.You have experience working with complex data sets, deriving insights with great attention to…"
88,nieuwFinance Systems Analyst,Ridedott,,"Lead end-to-end process improvements: gather requirements, document processes, scope, write specifications and data flows, develop, test, implement, review."
89,Integration Analyst,J.F. Hillebrand Group AG,,"To be successful as an integration analyst you must be very analytical, and great in collaborating with peers internally but also externally."
90,Research analist immunologie,UMC Utrecht,€3.355 per maand,Je bent een enthousiaste research analist op HLO-niveau.Als research analist voer je innovatief onderzoek uit met tubuloid-organoids waarbij wordt onderzocht…
91,Market Data Analyst,Rabobank,,"By thinking how modern technology can help increase data quality and traceability.Knowledge of Bloomberg, Reuters or other data vendor systems is considered a…"
92,Data Analist,Digital Power,€2.700 - €4.100 per maand,Je zet die data om naar bruikbare inzichten.Je kunt data analyseren helder visualiseren en uitleggen.Je duikt graag in de off- én online data van organisaties…
93,Actuarial Data Intelligence Analyst,NN Group,,You work in partnership with data engineers and operators from other departments and actuaries in NN Business Units to automate data sourcing and repeatable…
94,Business Analyst Intern,Picnic,,"Evolve, develop, and challenge yourself in an evolving company.Pursuing a Master's degree in Econometrics, Mathematics, Engineering or Operations and Logistics…"
95,Sales Analyst Europe PH,Philips,,"Analyze sales data and trends.Help derive key strategic insights from the myriad data types.Responsible for collection, analysis and reporting of the sales…"
96,Market Data Management Analist,APG,€4.295 per maand,Op basis van je investment & data kennis en vaardigheden voer je controles en verrijkingen op de data uit (op basis van de normen afgesproken met de consumenten…
97,nieuwBI Business Analyst,Omron Corporation,,"Providing technical expertise in data storage structures, data mining, and data cleansing.Minimum five years work experience as a data analyst or in a related…"
98,nieuwSales Insights Analyst,Sandvik,,"Identify master data management enhancements, implementations and lead.Identify opportunities to improve data processes, based on discussions with."
99,Web Analyst,Accell Group,,"Creating required reports to provide data insights to the business when requested by using different data analysis techniques (e.g., correlating data from…"
100,Data Analist,Amsterdam health & technology center,,"Als data analist heb je een belangrijke rol om dit in goede banen te leiden.Jouw rol in het ahti-team is het toepassen van jouw programmeerkennis (R, Stata,…"
101,Data Scientist,Optiver,,Perhaps you'll develop machine learning-based strategies using historical data.The ability to present complex ideas with data to expedite decision making.
102,Lead IT Analyst - Data Warehouse for Reg Reporting,Luxoft,,Understanding of the data governance life cycle.It is also intended to be the core data integration platform that not only provides data for regulatory…
103,Intern Social Media Research Analyst,Givaudan,,"Ability to deliver complex data in a visually appealing, concise and actionable format.Apply analytical skills and consumer understanding expertise to convert…"
104,Customer Data Engineer,Matrixian Group,€25 per uur,"Collaborate with domain experts, analysts and data scientists to solve data challenges.Knowledge of data modeling and data warehousing concepts."
105,Data Scientist - Insights,Catawiki,,You're a SQL Ninja who is not afraid of handling large volumes of data.Work with cross functional teams to find trends and opportunities in the data and make…
106,Sales Analyst & Support,Veepee,,As a Sales Analyst & Support you are part of our Sourcing Team.You prepare the commercial analysis of the offer in order to guarantee its attractiveness and…
107,AWS Data Engineer,PVH,,"Think of data scientists, data warehouse developers and business analyst colleagues to analyze the huge amount of data and build end-to-end integrated solutions…"
108,KYC Analyst,MUFG,,"Assess and analyze client’s CDD data;It includes verifying and analysing clients’ CDD data, performing background screening, risk assessments and quality…"
109,Senior Data Analist Handhaving,UWV Human Resources,€4.268 - €5.652 per maand,"Binnen de Directie Handhaving, afdeling Risicomanagement & Intelligence zijn er vacatures voor de functie van data-analist en senior data-analist."
110,Data Engineer (Scala),CarNext.com,,"Contribute to designing data models.You’re an experienced Data Engineer with strong Scala and PySpark skills, who loves to build the best data pipeline and…"
111,Business Intelligence Engineer,Roku,,Liaise with data engineers to understand and communicate the impacts of underlying changes in the data and update dependent pipelines.
112,Finance Business Partner Analyst,KANTAR,,"Reviewing orderbook data on completeness, phasing and accuracy.Evaluating sales pipeline and maintain reliability and compliance of data."
113,Quantitative Risk Analyst (Modelling Department),ABN AMRO Bank,,"As a medior quantitative risk analyst, you will play a key role in ensuring that the bank makes informed, data driven decisions and that complies with existing…"
114,nieuwOperationeel analist FIOD,belastingdienst,€5.139 per maand,Je hebt bij voorkeur ervaring als analist op het gebied van data of customer due diligence.Jij focust op data-analyse in ons opsporingsonderzoek.
115,"KYC Analyst, JCBD",MUFG,,"Basic financial knowledge, data-processing.The execution of KYC tasks in order to support the Relationship Managers, Unit Head and Department Head in JCBD, by…"
