,title,company,salary,summary
13,Software Developer (Kanban),Total Internet Group,€2.200 - €3.900 per maand,"Minimaal 3 jaar werkervaring als developer, in HTML/CSS en PHP.Natuurlijk niet alleen, maar samen met onze Customer Care Specialist Jeffrey en met het…"
14,Python Developer,Saxo Bank,,"At least 3 years of experience building and running software in Python.You have worked with automated and continuous testing, integration, deployment,…"
15,nieuwFull-stack developer,Momkai,,*Three years of experience *— as a Full-stack developer.At strategic design agency Momkai we'd like to welcome a Full-stack developer to our…
16,Java Software Developer,Osudio,,"Design, build, and maintain efficient, reusable, and reliable Java code within planning and budget qualitative E-commerce or Engagement Products that exceed all…"
17,Software Developer - Digital Species Identification,Naturalis Biodiversity Center,€3.099 - €4.053 per maand,"As a full-stack software developer, you are part of the Digital Species Identification team within the ARISE project."
18,Frontend Developer,Email Enzo,,Graag willen we onze klanten pro-actief adviseren en verwachten we deze instelling ook van een front-end developer.Goede kennis van HTML MySQL en CSS.
19,nieuwFrontend Developer Schepen,RH Marine,€3.200 - €5.400 per maand,Voor deze afdeling zoeken wij 2 Frontend developers met affiniteit voor schepen.Je wordt eerst ingewerkt in het uitgebreide product portfolio van RH Marine.
20,Software- / Web Developer,Xicero Communicatie,€3.200 per maand,Je krijgt al snel een aantal eigen accounts toegewezen.Na een inwerkperiode kun je snel zelfstandig aan de gang.Je stemt intern af met de projectmanager.
21,Frontend Developer,Cloudflight,,You have an eye for design and strike a balance between functional and user centered approaches to ensure a web design is intuitive and effective.
22,Backend Developer,iptiQ,,"You will have end-to-end responsibility for the applications implemented, including monitoring, identifying issues or bottlenecks, and delivering improvements…"
23,Backend Developer,Tiqets,,"We work in multidisciplinary teams combining roles such as Product Owner, Design, Backend, Frontend, Data Analysis.The technology that powers our product."
24,Backend Developer,BrainCreators,,You have experience in enterprise software development and distributed systems.At BrainCreators we’re looking for a superstar Backend Developer to help with…
25,nieuwFull Stack Developer,Matrixian Group,€3.500 - €4.000 per maand,2-3 year proven track record in front-end and back-end software development.We are looking for someone with modern-day essential engineering skills who wants…
