,title,company,salary,summary
134,Senior Data Engineer AWS,Tempo-Team,€80.000 - €95.000 per jaar,Our data engineers integrate and transform the data from the different systems and then load it into our data warehouse.You dare to challenge the status quo.
135,nieuwJunior Data Engineer- (incl. opleidingsprogramma),Hot ITem,,Jouw rol als (junior) data engineer.In deze fast track word je samen met circa twaalf nieuwe collega’s opgeleid tot Microsoft data engineer die het verschil…
136,Software Engineer,Optiver,,"To achieve this, our user interfaces must present coherent, responsive, real-time visualisations of market activity and system performance while providing…"
137,Data Architect,Atradius,,"Demonstrable knowledge of data architecture, data design techniques and various data platform solutions.Guide engineers and external partners on following the…"
138,QA Engineer,Showpad,,"Experience testing a variety of web services, APIs and data in CI/CD environment.Has 'Automate first' mindset - is meticulous to detail in defining Acceptance…"
139,Systems Engineer,Sauce Labs Inc.,,"Help build out new data centers around the globe.Install, configure and debug hardware and systems in our data center.Participation in 24x7 on-call rotation."
140,Senior Data Engineer,Macaw,,"Veel bedrijven zien de toegevoegde waarde van data, maar hebben deze data nog niet goed inzichtelijk.Ook configureer je ETL en Azure Data Factory pipelines en…"
141,Junior Data Warehouse Engineer,Just eat Takeaway.com,,"1+ year experience in handling big data pipelines, data warehouses or other (preferably distributed) data stores."
142,nieuwSynthetic Monitoring Cloud Engineer,NN Group,,"You support NN engineers when they get stuck, or have questions, locally and internationally.You understand how self-service and automation help NN engineers…"
143,Data Engineer,Newcraft Group,,"Ervaring met data warehouses, inclusief de technische architectuur van data warehouses, infrastructuur componenten, ETL/ELT en reporting/analytic tools, eco…"
144,"Process Engineer, MSAT",Kite Pharma,,Knowledge of data management tools and statistical process controls.As a Process Engineer for Manufacturing Science and Technology (MSAT) you will provide…
145,Python Data & Machine Learning Engineer,Codebeez,,"Ben je werkzaam in data gedreven omgevingen als Data Engineer, Data Sciencist of Data Analyst, heb je affiniteit met het ontwerpen en bouwen van Data Pipelines…"
146,Process Engineer Warehousing,Bol.com,€3.500 - €5.250 per maand,Je vertaalt inzichten naar verbeteringen en innovaties.Je werkt user stories uit die de meerwaarde van verbeteringen/innovaties bewijzen.
147,Data Engineer,Rabobank,€38.532 - €63.648 per jaar,Het naar productie brengen van data en analytics producten.In het projectteam denk je mee over data architectuur vraagstukken en help je bij het ontwerpen van…
148,Data Engineer,Action,,"Heb je minstens 1 jaar werkervaring als data-engineer.Als data-engineer integreer, transformeer en consolideer je gegevens uit verschillende gestructureerde en…"
149,nieuwSoftware Engineer – Responsible Investment,APG,€5.484 per maand,"Je hebt minimaal drie jaar werkervaring als full-stack ontwikkelaar, specifiek gericht op data engineering.Je bent pro-actief en een self-starter."
